ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"iltifatganj ,vidhut nagar,makhdumpur,kedar nagar",34,6120,1,83,877035.98,8074013.6,0,0,6202,69,5910,1708,5817,4,0,2,0,3168528.58,831,831,1817,6177,1329,6203,6144,1802,39.2%,29.3%
AYODHYA ZONE,EDC AKBARPUR,EDD_TANDA,DIV324732,"vidyut nagar, makhdoomnagar, khairpur",549,2367,0,48,607466.91,5363661.18,0,0,2415,23,2276,250,2120,5,0,18,0,2069931,202,202,945,2415,544,2415,2199,882,38.6%,40.1%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"devkali village, sidharath nagar, mirzapur,deen dayal nagar, dhani ram ka purva, sriswtipuram phase-2 , adard nagar, saketpuri, sahajahapur",10,3541,3,234,1793895.49,15230852.2,0,6,3775,26,3744,1299,3040,11,0,7,0,13049740.62,5,5,320,3775,0,3775,3676,2392,85.7%,65.1%
AYODHYA ZONE,EDC AYODHYA,EDD-AYODHYA DHAM AYODHYA,DIV324611,"ghusiyana, durgapuri, jogitara, tribhavan nagar, janeura, patel nagar, naka chugi, gandhi nagar, hanumat nagar, girijapuram, krishana nagar, gulab nagar, tilak nagar, brahman tola",1029,3360,8,222,1710874.1,17195973.92,0,13,3581,20,3452,873,2966,22,0,14,0,11241265,45,45,678,3413,9,3582,3473,1875,65.4%,54.0%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"bahamani thola , fayadpur , pachghara ,lohargali , mahaveer marga, sai abazar",472,1212,2,13,313475.78,685773.8300000001,0,0,1190,8,1193,64,997,3,0,39,0,841630,20,20,244,1224,77,1225,1160,356,122.7%,30.7%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"baina , gagauali , anwari, amarsanda , tikarhar , kallupurwa",22,5894,0,55,1165922.53,8178688.43,0,1,5603,145,5495,80,2324,4,0,1,0,2851948,733,733,2446,5949,883,5949,5457,875,34.9%,16.0%
AYODHYA ZONE,EDC BARABANKI,EDD FATEHPUR,DIV324524,"patel chauh\raha , kazipur 1/2/3 dyaram bhag , matamalim bhag",626,3742,10,74,928099.82,6674241.83,0,2,3500,84,3681,368,2658,13,0,44,0,3624824,137,137,943,3812,324,3816,3324,1308,54.3%,39.4%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"foolmati, malviya nagar, paschim katra etc",465,1997,2,47,387986.75,3380240.2,0,2,2041,3,1914,190,1789,0,0,1,0,1841877,148,148,461,2026,368,2044,1982,745,54.5%,37.6%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"kothi bazar, madarpur, chhatauni, ramdeenpurwa",1,2295,1,27,424798.36,2581780.59,0,0,2322,6,2156,80,1989,1,0,0,0,1463233,116,116,418,2322,214,2322,2273,931,56.7%,41.0%
AYODHYA ZONE,EDC BARABANKI,EDD HAIDERGARH,DIV324525,"patti ward, hasanpur, haveli ward,",151,2157,0,34,360749.29,2951326.11,0,1,2189,3,1963,160,2000,2,0,1,0,1287691,152,152,474,2148,371,2191,2157,761,43.6%,35.3%
AYODHYA ZONE,EDC BARABANKI,EDD-RAMNAGAR BARABANKI,DIV324523,"lakhraura, kadirabad, purani tehsil",593,3427,3,52,802904.54,5879717.5600000005,0,2,3479,119,3200,89,2574,7,0,17,0,3855417.7,255,255,905,3479,534,3479,3220,918,65.6%,28.5%
AYODHYA ZONE,EDC BARABANKI,EDD-RAMNAGAR BARABANKI,DIV324523,"surjanpur, amera, gulariya, bairagipur, fajehtapur",3,4380,0,15,367363,4550153.31,0,1,4395,70,4001,190,3897,2,0,0,0,910558.86,1774,1774,2674,4392,647,4395,4310,360,20.0%,8.4%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,dariyabad town,226,3756,3,42,657433.52,5775549.06,0,3,3798,2,3570,796,2969,2,0,0,0,3549430,154,154,556,3760,540,3798,3707,1793,61.5%,48.4%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,tikaitnagar town,747,1941,1,45,482033.95,4549731.97,0,3,1986,5,1939,101,1755,4,0,0,0,2532930.44,98,98,331,1986,270,1986,1945,631,55.7%,32.4%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,zaidpur-i_32452110001zpr,193,3464,2,44,737321.37,6778905.36,0,1,3412,11,3382,1214,3051,6,0,5,0,3596567,34,34,522,3508,2,3508,3386,1949,53.1%,57.6%
AYODHYA ZONE,EDC BARABANKI,EDD_RS_GHAT,DIV324521,zaidpur-ii_32452110001zdi,9,1562,2,17,323420.54,3111474.27,0,0,1579,9,1546,582,1309,2,0,3,0,1576477,100,100,402,1579,8,1579,1566,839,50.7%,53.6%
AYODHYA ZONE,EDC GAURIGANJ,EDD AMETHI,DIV324852,"ratapur, ghoraha lal shah bhadar masha parsoiya",152,3212,1,216,472977.27999999997,4927232.43,0,0,3176,29,3117,54,222,11,0,2,0,1024378,328,328,1360,3360,114,3428,3100,477,20.8%,15.4%
AYODHYA ZONE,EDC GAURIGANJ,EDD JAGDISHPUR,DIV324854,"mahona kasba, kisni, barsnda",140,750,0,5,85072.45,872421.03,0,0,746,69,709,2,513,0,0,1,0,75831,124,124,328,748,101,755,671,66,8.7%,9.8%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,"gandhinagar,kashimpur, hatwa, lala ka purwa, kajipur, naya ka purwa, makdumnagar",123,1140,1,11,192254.63,1612706.52,0,0,1151,23,1101,224,931,0,0,0,0,820253,106,106,242,1151,166,1151,1124,430,50.9%,38.3%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,nalapar,0,1,0,0,71,524.79,0,0,1,0,1,0,1,0,0,0,0,273,0,0,0,1,1,1,1,1,52.0%,100.0%
AYODHYA ZONE,EDC GAURIGANJ,EDD TILOEE,DIV324853,"satan ka purwa,semrauta,khekharuwa,,akabarpur farsi,kotwa mohamdabad,shivrataganj.",0,1,0,0,32,397.06,0,0,1,0,1,0,0,0,0,0,0,300,0,0,0,1,0,1,1,1,75.6%,100.0%
AYODHYA ZONE,EDC SULTANPUR,EDD JAISINGHPUR,DIV324845,"kurebhar bazar,guptargunj,purkhipur, dhanpatgunj,seur",1790,5944,4,117,1249268.78,-23548.62,0,7,6061,94,5335,159,4740,18,0,0,0,3713020,1269,1269,2610,5938,380,6061,5650,1070,-15767.5%,18.9%
AYODHYA ZONE,EDC SULTANPUR,EDD KADIPUR,DIV324844,"kadipur tehesil, kadipur town, midila, dostpur town, khalispur dingur, block chauraha, surapur markat, saraiya market",1859,8325,11,153,1799006.29,17149795.41,0,3,8478,222,7943,333,5938,12,0,73,0,5707957.99,1230,1230,3637,8149,935,8478,7781,1946,33.3%,25.0%
AYODHYA ZONE,EDC SULTANPUR,EDD KADIPUR,DIV324844,nalapar,28,34,0,0,11114.4,86482.97,0,0,34,0,34,0,20,0,0,0,0,6916,0,0,9,31,4,34,22,2,8.0%,9.1%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,lambhua tehsil,106,1446,3,31,392915.32,3733462.6,0,1,1477,11,1427,118,1111,5,0,4,0,1639546,247,247,513,1451,131,1477,1353,458,43.9%,33.9%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,nalapar,34,426,1,5,82622.3,856194.88,0,0,431,4,414,24,307,1,0,2,0,494007,63,63,146,426,46,431,392,136,57.7%,34.7%
AYODHYA ZONE,EDC SULTANPUR,EDD LAMBUA,DIV324843,"ramganj, raipur",220,1358,0,21,270536.11,2641884.21,0,1,1379,18,1338,24,1088,5,0,0,0,1034335.22,277,277,587,1371,129,1379,1344,359,39.2%,26.7%
AYODHYA ZONE,EDC SULTANPUR,EDD SULTANPUR,DIV324523,"vinobhapuri,panchopeeran,hathiya nala,gola ghat,mazar wali gali,bechu khan ka purwa,katwa,ramteerth nagar,nizampatti,wallipur,kasba,molnapur,gomti nagar",0,6,0,0,502,6701.17,0,0,6,1,6,0,2,0,0,0,0,0,1,1,3,6,0,6,5,0,0.0%,0.0%
AYODHYA ZONE,EDC SULTANPUR,EDD SULTANPUR,DIV324841,"vinobhapuri,panchopeeran,hathiya nala,gola ghat,mazar wali gali,bechu khan ka purwa,katwa,ramteerth nagar,nizampatti,wallipur,kasba,molnapur,gomti nagar",1388,9068,14,185,2737189.6,9233672.879999999,0,9,9251,518,8730,344,7846,28,0,57,0,12475531.09,2541,2541,4718,6211,861,9253,8996,1985,135.1%,22.1%
AYODHYA ZONE,EDC SULTANPUR,EDD SULTANPUR,DIV324845,"vinobhapuri,panchopeeran,hathiya nala,gola ghat,mazar wali gali,bechu khan ka purwa,katwa,ramteerth nagar,nizampatti,wallipur,kasba,molnapur,gomti nagar",0,1,0,0,604,3351.27,0,0,1,0,1,0,1,0,0,0,0,3406,0,0,0,0,0,1,1,1,101.6%,100.0%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"atarsuma  kala,lohangi,tikarmod,sanjay nagar,,, harora bazar,kutta chauraha",6,1198,0,11,139559.93,1023085.65,0,0,1209,72,1183,59,1005,1,0,0,0,391435,204,204,415,1167,171,1209,1186,279,38.3%,23.5%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"baldirai bazar, arwal bazar,aalmau,gaura,,,dehli bazar,baghauna bazar",56,1373,1,18,194995.9,1521938.02,0,0,1366,70,1353,39,1206,2,0,1,0,418354,251,251,601,1373,168,1391,1285,239,27.5%,18.6%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"dautpur, aliganj,rawaniya, maniyari,sahabaganj, bhulai ka purva, islam ganj",118,5862,1,85,963997.1900000001,8615423.38,0,2,5899,187,5743,175,5081,6,0,3,0,1876646,1385,1385,2614,5819,1255,5947,5824,1284,21.8%,22.0%
BAREILLY I,EDC BAREILLY,EDD AONLA,DIV341924,nalapar,384,2577,4,38,490095.18,4584626.54,0,1,2609,38,2487,867,2105,3,202,6,0,2391140,88,88,470,2615,5,2615,2495,1017,52.2%,40.8%
BAREILLY I,EDC BAREILLY,EDD BAHERI,DIV341923,"noori nagar,noori nagar line par nai basti,mohalla shagarh,mohalla shekhupur,meena bazar,mohalla abbash nagar,mohammadpur,saqlan nagar",579,14679,9,240,3394750.99,31788544.75,0,5,14592,375,14284,5716,12950,11,803,84,0,18361543,307,307,3747,14792,14,14919,14119,5632,57.8%,39.9%
BAREILLY II,EDC BADAUN,EDD BADAUN,DIV381811,"forshori tola, sotha khel, bhandar kuan, zama masjid, jummi chowki,sotha, molvi tola, nagran",1373,2892,2,29,918333.76,7652897.48,0,0,2921,13,2834,271,2393,12,84,12,0,5603569.25,108,108,613,2921,159,2921,2851,1426,73.2%,50.0%
BAREILLY II,EDC BADAUN,EDD II BADAUN,DIV381812,bisauli town,414,5857,4,273,1477033.35,13860254.959999999,0,10,6130,26,5714,1870,4831,3,514,14,0,6639934.45,550,550,1636,6125,26,6130,5869,2129,47.9%,36.3%
BAREILLY II,EDC BADAUN,EDD-BISAULI BADAUN,DIV381813,bisauli town,1838,7833,10,176,2399656.63,20525270.79,0,13,8009,122,7179,448,6200,12,1978,22,0,9695587.17,1624,1624,4128,7971,1184,8009,7720,1633,47.2%,21.2%
BAREILLY II,EDC BADAUN,EDD-BISAULI BADAUN,DIV381813,islamnagar town,635,4784,2,109,905072.05,8537177.94,0,6,4893,38,4432,401,3641,8,1495,3,0,3908995,1246,1246,2363,4811,299,4893,4583,891,45.8%,19.4%
BAREILLY II,EDC PHILIBHIT,EDD PILIBHIT,DIV382041,"station road, madhuban colony, ballabh nagar, awash vikash, lal road, jp road, ekta nagar ashok colony , khudaganj, panjabian",7828,12177,52,214,3102883.79,26349798.07,0,1,12350,122,12255,1359,11634,41,1015,51,0,14812947.09,24,24,1048,12383,0,12391,12187,5579,56.2%,45.8%
BAREILLY II,EDC PHILIBHIT,EDD PURANPUR,DIV382042,"moh bamanpuri, linepar sahukara & moh chauk",1698,4876,0,66,849301.04,7843972.14,0,1,4942,70,4487,1182,4407,1,750,7,0,3822213,257,257,1147,4924,5,4942,4868,1814,48.7%,37.3%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,degree college,296,3686,3,55,851862.58,7223001.57,0,2,3741,105,3554,1682,3084,1,306,7,0,4811274,63,63,476,3740,26,3741,3515,1788,66.6%,50.9%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,"eid gah, islam nagar, 1st point",451,5974,3,113,1397385.03,10958925.27,0,4,6068,229,5624,769,5020,4,2129,44,0,6783169,1121,1121,2303,6085,672,6087,5828,1733,61.9%,29.7%
BAREILLY II,EDC SHAJAHANPUR,EDD TILHAR,DIV382131,khudaganj,150,2108,1,31,353167.64,3196083.36,0,4,2132,116,1993,122,1589,3,850,7,0,2177886,390,390,632,2112,326,2139,1977,504,68.1%,25.5%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,anta,1134,4383,16,85,1186213.28,10034259.01,0,2,4468,39,4083,1307,3913,11,745,15,0,6842133,32,32,662,4448,8,4468,4173,2181,68.2%,52.3%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,hayatpura,2529,7416,23,177,1951598.47,14820084.81,0,5,7261,184,7236,1928,6208,15,970,39,0,11151629.53,43,43,1250,7509,38,7593,6861,3218,75.2%,46.9%
BAREILLY II,EDC SHAJAHANPUR,EDD-SHAJAHANPUR,DIV382132,reti,1254,3255,5,56,694220.5,5951133.64,0,3,3171,82,3200,771,2858,9,619,8,0,3487335.53,18,18,472,3271,28,3311,3069,1311,58.6%,42.7%
DEVIPATAN ZONE,EDC BAHRAICH,EDD BAHRAICH,DIV354921,bashirganj,873,8840,13,275,2833684.71,24856164.41,0,5,9115,67,8978,3178,8235,18,2094,7,0,17250513,7,7,1008,9093,6,9115,8943,5218,69.4%,58.3%
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,colonelganj tahseel,1365,6341,2,84,1544636.79,12945602.85,0,5,6425,122,5270,213,3665,16,424,48,0,6137139,599,599,1843,6336,384,6425,6087,1724,47.4%,28.3%
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,katra ipds,816,1562,2,21,409311.6,4162477.83,0,0,1583,27,1471,32,1010,2,31,12,0,929529,140,140,432,1562,59,1583,1484,305,22.3%,20.6%
DEVIPATAN ZONE,EDC GONDA,EDD- COLONELGANJ GONDA,DIV355213,khargupur ipds,766,2272,0,32,420543.92,4165903.41,0,0,2304,61,1992,19,1038,1,129,21,0,1554501,355,355,1086,2285,234,2304,2116,400,37.3%,18.9%
DEVIPATAN ZONE,EDC GONDA,EDD-MANKAPUR GONDA,DIV355214,dhanaypur,20,74,0,0,7983.2,99137.95999999999,0,0,74,1,69,0,27,1,1,0,0,6473,31,31,47,74,0,74,70,8,6.5%,11.4%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_CHINHAT,DIV372626,vineet khand,58,344,38,275,426843.88,3664547.87,0,0,553,18,636,217,440,28,23,1,0,3979310,0,0,84,487,1,650,480,374,108.6%,77.9%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_CHINHAT,DIV372626,whole kashiram colony block 180,2063,2487,0,8,336900.32,2624062.18,0,0,2490,21,2442,168,2199,11,4,5,0,1411040,6,6,194,2494,1,2495,2378,1154,53.8%,48.5%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,gwari,398,903,5,38,382497.47,2999763.88,0,0,941,5,898,264,759,5,75,0,0,2559761,0,0,58,941,11,941,826,618,85.3%,74.8%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,jugauli,496,1045,3,30,459025.29,3729725.62,0,0,1075,3,1049,190,981,3,123,1,0,2593501,1,1,64,1073,4,1075,1037,725,69.5%,69.9%
GOMTI NAGAR ZONE,EUDC GOMTI NAGAR,EUDD_GOMTINAGAR,DIV372622,ujariyaon,33,998,3,40,509692.12,4184421.85,0,0,1038,7,992,297,976,4,251,0,0,3085281,0,0,84,1037,6,1038,1030,740,73.7%,71.8%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_INDIRA_NGR,DIV372691,"beniganj, bahadurpur village",504,1670,15,99,736386.18,5984102.76,0,2,1768,6,1737,470,1435,22,194,0,0,5149741.58,0,0,73,1766,20,1769,1653,1253,86.1%,75.8%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_INDIRA_NGR,DIV372691,luvkush nagar,950,1432,17,85,701901.12,5700829.34,0,3,1517,3,1493,254,1404,21,82,1,0,4447625.66,0,0,37,1512,26,1517,1475,1105,78.0%,74.9%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,amrai gaon,797,2405,14,73,745853.11,9488664.39,0,0,2478,6,2425,773,2116,15,177,1,0,5478507.19,1,1,76,2478,55,2478,2413,1865,57.7%,77.3%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,faridinagar gaon,741,1462,49,340,999752.28,6834052.36,0,2,1802,5,1790,453,1533,57,163,3,0,7895536.0600000005,0,0,68,1794,63,1802,1651,1329,115.5%,80.5%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,ishwaripuri,13,178,6,74,205319.81,1900872.68,0,2,252,0,245,96,215,6,33,0,0,2958746,0,0,15,252,0,252,231,206,155.7%,89.2%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,jarhara new,361,1178,8,40,391975.84,3270628.59,0,0,1218,4,1203,362,1022,8,129,0,0,2896343,2,2,46,1217,37,1218,1151,879,88.6%,76.4%
GOMTI NAGAR ZONE,EUDC INDIRA NAGAR,EUDD_MUNSIPULIA,DIV372692,takrohi gaon,432,1216,3,31,428803.5,3364231.43,0,0,1247,4,1224,300,1049,5,156,0,0,2851707,1,1,50,1247,56,1247,1193,893,84.8%,74.9%
